ID,period,price,unitp,area,room,bath,terrace,aircon,parking,north,south,east,west,swimpool,garden,duplex,studio,topfloor,conyr,maxfloor,dcount,quality,newdev,dist_city_centre,dist_metro,long,lat
A16189345082289571981,201812,864000,4645.16129,186,4,3,1,1,1,0,0,1,0,1,1,0,0,0,2007,5,95,3,0,9.715781111,0.18650494,-3.696581169,40.50369583
A2504038599831881067,201812,496000,5166.666667,96,2,2,1,0,1,0,0,0,0,0,0,0,0,0,2004,5,83,3,0,9.974516932,0.136535655,-3.694396969,40.50590715
A385031816468479717,201803,753000,4429.411765,170,4,3,0,0,1,0,0,0,0,1,1,0,0,0,2007,5,81,4,1,9.834107573,0.099305561,-3.694868107,40.5046701
A8137296778582198986,201812,539000,5390,100,2,2,1,1,1,0,0,0,0,1,1,0,0,0,2006,5,136,4,0,9.838837576,0.777583814,-3.704938634,40.50496946
A9808274766389154342,201812,544000,3487.179487,156,4,3,0,1,1,0,0,0,0,1,1,0,0,0,2008,8,99,4,0,10.16093894,0.776013557,-3.677954175,40.50572551
A1852189971551103323,201803,473000,5630.952381,84,3,2,1,1,1,0,0,0,0,1,1,0,0,0,2004,7,233,4,0,10.16593886,0.472338343,-3.669392799,40.50408174
A4648779512559420632,201812,591000,3283.333333,180,4,2,0,1,1,0,0,1,1,1,1,0,0,0,2006,7,89,3,0,10.06691453,0.559753107,-3.672316888,40.5037945
A2294846068255093096,201812,501000,3766.917293,133,3,2,0,1,1,1,0,0,0,1,1,0,0,0,2008,7,188,3,0,10.33184685,0.492941566,-3.6748959,40.50676142
A11879646758940561980,201812,434000,3945.454545,110,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1960,8,33,5,0,2.993622458,1.286523049,-3.733662199,40.43094427
A9770293009323040003,201812,467000,3459.259259,135,4,2,1,1,1,1,0,0,0,0,1,0,0,0,1970,8,33,5,0,3.037792179,1.228352229,-3.733390527,40.43198203
A18232717280168988779,201812,182000,3640,50,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1970,10,33,5,0,3.103884038,1.246729585,-3.733809499,40.43256496
A14854438781298598869,201803,616000,5866.666667,105,3,2,0,0,1,0,0,1,0,1,1,0,0,0,1999,9,133,4,0,1.932319308,0.890358586,-3.723637852,40.42513357
A4843381524590953214,201812,444000,3313.432836,134,4,2,1,1,0,0,1,0,0,0,0,0,0,0,1961,15,32,6,0,2.359632838,1.093597255,-3.729353675,40.42498955
A455347276224965373,201812,315000,4436.619718,71,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1962,5,11,7,0,2.123965619,1.03585107,-3.727295114,40.42320972
A2364009893792461867,201812,2200000,5804.74934,379,6,4,1,0,1,0,0,0,0,0,0,0,0,0,1980,6,9,2,0,1.572121137,0.439426741,-3.718172032,40.42551
A1356718724483780391,201812,1016000,2902.857143,350,8,4,1,0,0,0,0,0,0,0,0,0,0,0,1987,7,30,3,0,2.013234816,0.342246913,-3.719892662,40.42988669
A14292008700391381336,201812,1878000,7195.402299,261,4,3,1,0,1,0,0,0,0,0,0,0,0,0,1970,8,32,4,0,1.818326907,0.467305284,-3.719726039,40.42752737
A9031405764036903214,201812,838000,3223.076923,260,9,3,0,0,1,1,0,0,0,0,0,0,0,0,1950,7,13,6,0,1.339910687,0.290347909,-3.715253598,40.42487944
A1325416845421739831,201812,647000,4976.923077,130,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1960,7,70,5,0,1.736724716,0.335459159,-3.71784426,40.42794447
A16880565630637992092,201812,589000,2181.481481,270,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1945,6,25,3,0,2.166052342,0.301880117,-3.718775366,40.43235311
A3161196800353748467,201812,1774000,3916.11479,453,4,4,1,0,1,0,0,0,1,0,1,0,0,0,1970,7,17,3,0,1.607866478,0.437746064,-3.718329106,40.42586939
